"1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015"
"21" 1460618 1513361 1532926 1545429 1570079 1603738 1660157 1680751 1682595 1672357 1719973 1744781 1697877 1606281 1565080 1765328 1892138 1893239 1850037 1794642 1515679 1646793 2296494 2379781 2319519 2118824 1972715 1860690 1752550 1662990 1648523 1573484 1521318 1562146 1584484 1558030 1552464 1577046 1623697 1684770 1682812 1519985 1812217 1813864 1852802 1897890 1950935 1992585 2013310 1966761 1881984 1805962 1722330 1665955 1597170 1560964 1501254 1483776 1473779 1451289 1395211 1338707 1301280 1259854 1218317 1195804 1190533 1198525 1192633
"22" 1346543 1446150 1502556 1520598 1536225 1565071 1598051 1653612 1673740 1675791 1662359 1708922 1731988 1685135 1597919 1564865 1763129 1886240 1884241 1842577 1794840 1514136 1643874 2291411 2373898 2322586 2128940 1981279 1859018 1748449 1661028 1644662 1569489 1516561 1558199 1581617 1554279 1547823 1572519 1619481 1676261 1672822 1510584 1801900 1806528 1847209 1889344 1941401 1983267 2005442 1965516 1880549 1804774 1712706 1642504 1596593 1558142 1497904 1472176 1467671 1443709 1387870 1331015 1293484 1252855 1219143 1196910 1192160 1199830
"23" 1251303 1335301 1432852 1492894 1510484 1531931 1560700 1592418 1647027 1666967 1667870 1652277 1697921 1719431 1676249 1600035 1564757 1761085 1880329 1878053 1844252 1794950 1512558 1640847 2288571 2376321 2333893 2139105 1982919 1857753 1747774 1659141 1640842 1565567 1513022 1556740 1578740 1550508 1543186 1567934 1613072 1667823 1662848 1501231 1793579 1803025 1841667 1880859 1931854 1973901 2004019 1964022 1879652 1792225 1680412 1642817 1594856 1555605 1482615 1467066 1461582 1436079 1380510 1323288 1285695 1252371 1218717 1196744 1191830
"24" 1190475 1242243 1324974 1420595 1485192 1504570 1528542 1556400 1586554 1640882 1660282 1659715 1642381 1687121 1710800 1679048 1602322 1564845 1759046 1876286 1880002 1845951 1795200 1510958 1639082 2292694 2387280 2345286 2141850 1984062 1857807 1747174 1657308 1637050 1562752 1512937 1555290 1575816 1546811 1538807 1563121 1606668 1659347 1652949 1493913 1791428 1799564 1836143 1872336 1922337 1972316 2002277 1962795 1864768 1750907 1680370 1640877 1593030 1540640 1478700 1462000 1455468 1428443 1373172 1315596 1284999 1251854 1218384 1196297
"25" 1135698 1180553 1234320 1316080 1411500 1480004 1499863 1525649 1552169 1581455 1635606 1653794 1652099 1632710 1679499 1714124 1682101 1604704 1564958 1758074 1877540 1882060 1847604 1795349 1510690 1640584 2303872 2398329 2348479 2143551 1983621 1857947 1746642 1655501 1634554 1563340 1512883 1553767 1572920 1543226 1534894 1558326 1600233 1650921 1645309 1492796 1789230 1796141 1830603 1863861 1920555 1971196 2001477 1950450 1831347 1750961 1677336 1639523 1575440 1536515 1474802 1456950 1449334 1420821 1365827 1314223 1283821 1250828 1217442
"26" 1160226 1127401 1171875 1227584 1309416 1408262 1475847 1495467 1522730 1548388 1577114 1630428 1647607 1644691 1626228 1681339 1717702 1685430 1607230 1565441 1760111 1878904 1884069 1849291 1796772 1514411 1647083 2315241 2401080 2350948 2142504 1983260 1858049 1746105 1654380 1635719 1563986 1512758 1552279 1570276 1540066 1530970 1553484 1593856 1644558 1644683 1491667 1787109 1792698 1824996 1862521 1920782 1971301 1992332 1924489 1831615 1748348 1676424 1625781 1573240 1532442 1470983 1451913 1443204 1413218 1364277 1312608 1282353 1249442
"27" 1033678 1154540 1120137 1164320 1222313 1306365 1406180 1472141 1491060 1519901 1544720 1572882 1625431 1641703 1639678 1628758 1683407 1721376 1688777 1609391 1566487 1762284 1880363 1886134 1851684 1801809 1522733 1653744 2319582 2403047 2350386 2141525 1982930 1858180 1745798 1655261 1636909 1564507 1512674 1550738 1568167 1536880 1527060 1548631 1589116 1644320 1644022 1490578 1784925 1789243 1824472 1863776 1922096 1965402 1975579 1925955 1829571 1748363 1667595 1625878 1571057 1528332 1467122 1446872 1437068 1411576 1362911 1311318 1280989
"28" 1007498 1025908 1149809 1113899 1158528 1218763 1304534 1404610 1468510 1487354 1516802 1541003 1569024 1620595 1637726 1642076 1631444 1685820 1725143 1691430 1610064 1567642 1764413 1881787 1888390 1856003 1812400 1531240 1655436 2322939 2402434 2349702 2140638 1982649 1858159 1746141 1656126 1638014 1565107 1512218 1548955 1566035 1533713 1523172 1545140 1589150 1644091 1643391 1489453 1782741 1788591 1824576 1864129 1918600 1956029 1976976 1923456 1828851 1742220 1669356 1625933 1568917 1524161 1463221 1441773 1435374 1410067 1361506 1310057
"29" 1022442 1000100 1019048 1146053 1108897 1155534 1216025 1302900 1402928 1465208 1483750 1513615 1537464 1565131 1617233 1639208 1644431 1634167 1688175 1727624 1691323 1610569 1568842 1766594 1883467 1891606 1866027 1823018 1535114 1656302 2322427 2401899 2349043 2139823 1982335 1857834 1746459 1656983 1639135 1565301 1510758 1547192 1563935 1530557 1520300 1545414 1589117 1643876 1642737 1488224 1782970 1788950 1825273 1861110 1910274 1957915 1975900 1923191 1823915 1744090 1671093 1625969 1566749 1520003 1459301 1440167 1433726 1408404 1360037
"30" 1038480 1015917 993744 1013173 1142968 1105799 1153449 1213770 1301488 1401410 1461849 1480242 1510786 1534107 1562719 1618109 1640881 1646998 1637082 1690021 1726541 1691196 1611275 1569980 1768415 1886008 1902296 1876179 1828159 1537431 1655256 2321794 2401367 2348385 2138939 1981948 1857478 1746685 1657803 1639510 1564309 1509300 1545428 1561819 1528346 1520643 1545637 1589088 1643621 1641966 1487869 1784365 1788923 1823748 1860640 1911920 1957200 1975963 1919886 1826352 1745921 1672802 1626009 1564488 1515814 1457855 1438698 1432244 1407151
